[ unknown | 2025-10-22T02:09:59.228Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:09:59.228Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:09:59.228Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T02:09:59.237Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T02:09:59.237Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:09:59.237Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [Metrics] Test duration recorded: 2740ms
[ unknown | 2025-10-22T02:09:59.238Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [Metrics] Gauge updated with duration: 2.74s
[ unknown | 2025-10-22T02:09:59.242Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T02:09:59.245Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T02:09:59.578Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
