[ unknown | 2025-10-22T02:01:51.083Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:01:51.084Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:01:51.084Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T02:01:51.091Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T02:01:51.091Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:01:51.091Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [Metrics] Test duration recorded: 2472ms
[ unknown | 2025-10-22T02:01:51.091Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [Metrics] Gauge updated with duration: 2.472s
[ unknown | 2025-10-22T02:01:51.096Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T02:01:51.099Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T02:01:51.440Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
